girdi,cevap,etiket,girdi_norm
Çalışma için verimli bir yöntem önerir misin?,"Pomodoro tekniğini deneyebilirsin. 25 dakika odaklanarak çalışıp, ardından 5 dakika ara vererek verimliliğini artırabilirsin.",diger,çalışma için verimli bir yöntem önerir misin
"Yalnız hissettim, moralimi nasıl yükseltebilirim?","Bir süreliğine dışarı çıkıp, doğada bir yürüyüş yapmak ya da sevdiklerinle vakit geçirmek iyi gelebilir.",finans,yalnız hissettim moralimi nasıl yükseltebilirim
"Stresli bir gün geçirdim, rahatlamam için ne yapmalıyım?","Sıcak bir duş almak, bir fincan bitki çayı içmek ve kısa bir meditasyon yapmak rahatlatıcı olabilir.",saglik,stresli bir gün geçirdim rahatlamam için ne yapmalıyım
Yaz tatili için bir yer önerir misin?,Bodrum’un sakin köyleri hem doğa ile iç içe hem de huzurlu bir tatil sunar.,diger,yaz tatili için bir yer önerir misin
"Sevgilime hediye alacağım, ne önerirsin?","Kendi yazdığın bir mektup ya da kişisel bir fotoğraf albümü, duygusal ve anlamlı bir hediye olabilir.",diger,sevgilime hediye alacağım ne önerirsin
"Kendimi geliştirmek istiyorum, hangi kitapları okumalıyım?","""Sapiens"" Yuval Noah Harari’nin kitabı insanlık tarihine dair çok ilginç bilgiler sunuyor.",sanat,kendimi geliştirmek istiyorum hangi kitapları okumalıyım
"Aşk hakkında bir film izlemek istiyorum, önerir misin?","""La La Land"" harika bir aşk filmi. Hem görsel olarak çok etkileyici hem de müzikleri çok güzel.",sanat,aşk hakkında bir film izlemek istiyorum önerir misin
"Kitap önerisi arıyorum, yeni bir şeyler okumak istiyorum.","""Kürk Mantolu Madonna"" oldukça derin bir hikaye ve karakter analizi sunuyor. Kesinlikle öneririm.",sanat,kitap önerisi arıyorum yeni bir şeyler okumak istiyorum
"Ailemle tatil yapmak istiyorum, nerelere gidebiliriz?","Kapadokya’da sıcak hava balonuna binebilir, peri bacalarını keşfe çıkabilirsiniz. Ailece harika bir deneyim olacaktır.",yapay_zeka,ailemle tatil yapmak istiyorum nerelere gidebiliriz
"Çalışma sırasında müzik dinlemeyi seviyorum, önerir misin?",Lo-fi müzikler oldukça popüler ve çalışma odaklanmanızı artırabilir. Spotify'da Lo-Fi Beats çalma listesini dinleyebilirsin.,sanat,çalışma sırasında müzik dinlemeyi seviyorum önerir misin
"Gece için bir film izlemek istiyorum, ne önerirsin?","""Interstellar"" oldukça düşündürücü bir film. Hem görsel açıdan harika hem de zaman ve uzay üzerine derinlemesine bir hikaye.",sanat,gece için bir film izlemek istiyorum ne önerirsin
"Akşam yemeği için hızlı ama sağlıklı bir şeyler yapmak istiyorum, ne önerirsin?",Hızlıca yapabileceğin bir avokado salatası öneririm. Üzerine biraz zeytinyağı ve limon ekleyerek nefis bir tat elde edebilirsin.,saglik,akşam yemeği için hızlı ama sağlıklı bir şeyler yapmak istiyorum ne önerirsin
"Bugün enerjim düşük, ne yapmalıyım?","Kısa bir yürüyüş yapmak enerjini artırabilir. Ayrıca, su içmeyi de unutma, bazen yorgunluk susuzluktan kaynaklanabilir.",diger,bugün enerjim düşük ne yapmalıyım
"Sevdiklerime ne hediye alabilirim, fikrin var mı?",Kendi yaptığın bir el yazısı kart ya da fotoğraf albümü çok anlamlı bir hediye olabilir. Kişisel dokunuşlar her zaman değerli olur.,diger,sevdiklerime ne hediye alabilirim fikrin var mı
"Gece uykusuz kaldım, nasıl rahatlayabilirim?","Sıcak bir duş almak ve biraz meditasyon yapmak rahatlamana yardımcı olabilir. Ayrıca, lavanta kokulu bir yastık da uykuya geçişi kolaylaştırabilir.",uzay,gece uykusuz kaldım nasıl rahatlayabilirim
En sevdiğim türde bir film önerir misin?,"Eğer aksiyon sever biriysen, ""Mad Max: Fury Road"" harika bir seçim olabilir. Hem heyecan verici hem de görsel açıdan muazzam.",sanat,en sevdiğim türde bir film önerir misin
Hangi aktiviteler hem eğlenceli hem de sakinleştirici olabilir?,Puzzle yapmak ya da bir resim yapmak oldukça keyifli ve rahatlatıcı aktiviteler olabilir. İstersen bir renkli kalem setiyle denemeler yapabilirsin.,diger,hangi aktiviteler hem eğlenceli hem de sakinleştirici olabilir
"Kendimi geliştirmek istiyorum, hangi konuda eğitim alabilirim?","Kendi kişisel gelişimin için zaman yönetimi veya stresle başa çıkma kurslarına katılmayı düşünebilirsin. Ayrıca, halkla ilişkiler üzerine de eğitim alabilirsin.",kariyer,kendimi geliştirmek istiyorum hangi konuda eğitim alabilirim
Çalışmaya başlamadan önce nasıl motive olabilirim?,"Motivasyonu artırmak için küçük hedefler belirleyebilirsin. Bu hedeflere ulaşmak, sana hem başarı hissi verir hem de motive eder.",uzay,çalışmaya başlamadan önce nasıl motive olabilirim
Hafta sonu için farklı bir plan yapmayı düşünüyorum. Ne önerirsin?,"Doğada bir gezi yapmak oldukça keyifli olabilir. Belki yakınlarda bir milli park var, o parkta biraz zaman geçirebilirsin.",uzay,hafta sonu için farklı bir plan yapmayı düşünüyorum ne önerirsin
"Bugün bir dizi izlemek istiyorum, önerir misin?","""Money Heist"" gerçekten sürükleyici bir dizi. Gerilim dolu ve karakterler oldukça ilgi çekici.",sanat,bugün bir dizi izlemek istiyorum önerir misin
Tatil için farklı bir yer önerir misin?,Marmaris'e gitmeyi düşünebilirsin. Huzurlu koyları ve güzel plajlarıyla oldukça popüler bir tatil beldesi.,diger,tatil için farklı bir yer önerir misin
"Kitap tavsiyesi almak istiyorum, ne önerirsin?","""Bülbülü Öldürmek"" çok derin ve düşündürücü bir kitaptır. Toplumsal konuları ve insan doğasını çok iyi işler.",sanat,kitap tavsiyesi almak istiyorum ne önerirsin
Gündüz için dinlenebileceğim bir şey önerir misin?,"Sessiz bir ortamda bir saat kitap okumak oldukça rahatlatıcı olabilir. Ayrıca, bir kahve içmek ve manzarayı izlemek de iyi gelebilir.",diger,gündüz için dinlenebileceğim bir şey önerir misin
"Bugün biraz daha sağlıklı beslenmek istiyorum, ne önerirsin?",Akşam yemeğinde sebzeli bir çorba ya da ızgara somon yapmayı düşünebilirsin. Hem hafif hem de besleyici olur.,saglik,bugün biraz daha sağlıklı beslenmek istiyorum ne önerirsin
"Bugün için bir hedef belirlemek istiyorum, nasıl bir hedef koymalıyım?","Küçük ve ulaşılabilir hedefler koymak daha etkili olabilir. Örneğin, bir saat kitap okumak ya da 30 dakika yürüyüş yapmak gibi.",diger,bugün için bir hedef belirlemek istiyorum nasıl bir hedef koymalıyım
Hangi aktiviteler hem eğlenceli hem de öğretici olabilir?,Online kurslar veya belgeseller izlemek eğlenceli ve öğretici olabilir. Özellikle tarih ya da bilim belgeselleri oldukça ilgi çekici.,diger,hangi aktiviteler hem eğlenceli hem de öğretici olabilir
"Spor yapmaya başlamak istiyorum, önerin var mı?",Yoga ya da pilates oldukça rahatlatıcı ve vücut sağlığına çok faydalı olabilir. Hem de evde rahatça yapabileceğin egzersizler.,uzay,spor yapmaya başlamak istiyorum önerin var mı
"Haftalık alışveriş listemi hazırlamam gerek, hangi ürünleri eklemeliyim?","Sağlıklı beslenmek istiyorsan, sebzeler, tam buğday ekmeği, mercimek gibi protein kaynakları ve taze meyveler almayı unutma. Ayrıca, yoğurt ve süt de iyi birer seçenek olabilir.",kariyer,haftalık alışveriş listemi hazırlamam gerek hangi ürünleri eklemeliyim
Spor yaparken dikkat etmem gereken şeyler neler?,"Egzersiz yaparken ısınma hareketleri çok önemli. Kaslarını zorlamadan önce hafif germe hareketleri yapmalısın. Ayrıca, doğru formda hareket etmek de sakatlanmaları engeller.",spor,spor yaparken dikkat etmem gereken şeyler neler
"Çalışma sırasında sıkıldım, nasıl odaklanabilirim?","Pomodoro tekniği ile çalışmayı deneyebilirsin. 25 dakika kesintisiz çalışıp, ardından 5 dakika ara vererek odaklanmanı artırabilirsin. Bir müzik listesi de hazırlayabilirsin, odaklanmanı kolaylaştıracak.",diger,çalışma sırasında sıkıldım nasıl odaklanabilirim
"Sevdiklerime özel hediye almak istiyorum, önerin var mı?","Hediye olarak kişisel dokunuşlar her zaman daha anlamlı olur. Mesela, onların fotoğraflarından bir albüm yapabilir ya da yazdığın bir mektup hediye edebilirsin. Ayrıca, el yapımı takılar veya şık bir aksesuar da güzel bir seçenek.",diger,sevdiklerime özel hediye almak istiyorum önerin var mı
Gece daha iyi uyuyabilmek için ne yapmalıyım?,"Uyuma alışkanlıklarını düzenlemek önemlidir. Elektronik cihazları yatmadan en az bir saat önce kullanmamaya çalış. Ayrıca, rahatlatıcı bir müzik dinleyebilir veya biraz meditasyon yapabilirsin. Lavanta yağı da uykuya dalmanı kolaylaştırabilir.",diger,gece daha iyi uyuyabilmek için ne yapmalıyım
"Sıkıldım, ne yapabilirim?","Belki yeni bir şeyler öğrenebilirsin. YouTube’da ücretsiz kurslar var. Fotoğrafçılık, dil öğrenme ya da el sanatları gibi konularda ilginç dersler bulabilirsin. Ayrıca, arkadaşlarınla bir oyun oynamak da iyi olabilir.",diger,sıkıldım ne yapabilirim
Bir tatil yeri önerir misin?,"Eğer dinlenmek ve doğa ile iç içe olmak istiyorsan, Kaş harika bir seçenek. Ayrıca, Balıkesir’in Ayvalık bölgesi de doğa ve denizin tadını çıkarabileceğin sakin bir yer.",diger,bir tatil yeri önerir misin
Bugün için nasıl bir plan yapmalıyım?,"Öncelikle bir sabah rutini oluşturabilirsin. Günün erken saatlerinde kahvaltını yapıp, biraz meditasyon ya da yoga yaparak güne başlayabilirsin. Planlı bir şekilde çalışarak, akşam saatlerinde ise sevdiğin bir aktiviteye vakit ayırabilirsin.",diger,bugün için nasıl bir plan yapmalıyım
Kendimi daha iyi hissetmek için ne yapabilirim?,"Güne erken başlamak, biraz dışarıda yürüyüş yapmak ve sağlıklı yemekler tüketmek kendini daha enerjik hissetmeni sağlar. Ayrıca, birkaç dakika meditasyon yaparak zihnini dinlendirebilirsin.",finans,kendimi daha iyi hissetmek için ne yapabilirim
Kendime nasıl yeni bir hobi edinebilirim?,"İlk olarak ilgi duyduğun alanları keşfetmelisin. Belki bir süre resim yapmayı deneyebilirsin, ya da yeni bir dil öğrenmek için online uygulamalara göz atabilirsin. Hangi hobiyi seçersen seç, öğrenmek süreci keyifli kılacaktır.",diger,kendime nasıl yeni bir hobi edinebilirim
"Sağlıklı beslenmeye başlamak istiyorum, ne önerirsin?","İlk olarak, işlenmiş gıdalardan kaçınmak iyi bir adım. Daha fazla sebze ve meyve tüketebilirsin. Ayrıca, proteini dengelemek için kuru baklagiller ve tam tahıllı ürünler tercih edebilirsin.",saglik,sağlıklı beslenmeye başlamak istiyorum ne önerirsin
İşe giderken dinlemek için müzik önerir misin?,"Eğer enerjik bir şeyler istersen, pop müzik veya upbeat bir rock çalma listesi dinleyebilirsin. Eğer daha sakin bir şeyler arıyorsan, lo-fi beats ya da klasik müzik rahatlatıcı olabilir.",sanat,i şe giderken dinlemek için müzik önerir misin
"Tatil planı yapıyorum, hangi aktiviteleri önerirsin?","Denizin keyfini çıkarabilir, çeşitli su sporlarını deneyebilirsin. Ayrıca, gezip görebileceğin tarihi yerler ya da doğa yürüyüşleri de harika aktiviteler olabilir.",diger,tatil planı yapıyorum hangi aktiviteleri önerirsin
Bugün dinlenmek için ne yapmalıyım?,"Birkaç saatini sadece sana ayırarak rahatlayabilirsin. Belki sevdiğin bir kitabı okuyabilir, rahatlatıcı bir müzik dinleyebilir ya da bir film izleyebilirsin. Kendine vakit ayırmak oldukça önemli.",diger,bugün dinlenmek için ne yapmalıyım
Hafta sonu için nasıl eğlenceli bir plan yapabilirim?,"Eğer dışarı çıkmayı planlıyorsan, arkadaşlarınla sinemaya gidebilir veya mini golf oynayabilirsin. Evde kalmak istiyorsan, arkadaşlarınla board game ya da film maratonu yapabilirsiniz.",diger,hafta sonu için nasıl eğlenceli bir plan yapabilirim
"Kendi işimi kurmayı düşünüyorum, neler yapmalıyım?","Öncelikle bir iş planı hazırlamanız çok önemli. Hangi sektörde olacağınızı, hedef kitlenizi ve nasıl bir hizmet veya ürün sunacağınızı netleştirin. Ayrıca, işinizin dijital pazarlama stratejisini oluşturmak da işinizi büyütmek için oldukça faydalı olacaktır.",uzay,kendi işimi kurmayı düşünüyorum neler yapmalıyım
"Kitap okumaya başlamak istiyorum, hangi kitapla başlamalıyım?","""1984"" George Orwell'dan bir distopya. Modern toplumların yapısını sorgulayan çok etkileyici bir kitap. Ayrıca ""Martı"" da kısa ve derinlikli bir seçenek olabilir.",uzay,kitap okumaya başlamak istiyorum hangi kitapla başlamalıyım
Film izlerken dikkat etmem gereken bir şey var mı?,"Eğer bir filmde derinlemesine anlam arıyorsan, önce film hakkında biraz araştırma yapabilirsin. Yönetmenin tarzı ve filmdeki sembolizm sana daha fazla ipucu verebilir.",sanat,film izlerken dikkat etmem gereken bir şey var mı
"Yeni bir dil öğrenmek istiyorum, nasıl başlamalıyım?","Dil öğrenmeye başlarken temel kelimeler ve ifadelerle başlamak önemli. Duolingo gibi uygulamalar, başlangıç seviyesindeki kelimeleri öğrenmek için iyi bir kaynak olabilir. Ayrıca, o dilde dizi veya film izlemek de öğrenmeni hızlandırabilir.",diger,yeni bir dil öğrenmek istiyorum nasıl başlamalıyım
Bir arkadaşımın doğum günü için ne hediye alabilirim?,"Kendi hazırladığın bir fotoğraf albümü veya el yapımı bir hediye çok anlamlı olabilir. Ayrıca, bir hobi seti ya da kişisel bakım ürünleri de oldukça popüler hediye seçenekleridir.",diger,bir arkadaşımın doğum günü için ne hediye alabilirim
Hangi aktiviteler zihinsel sağlığımı iyileştirebilir?,"Düzenli meditasyon, yoga veya derin nefes alma egzersizleri zihinsel sağlığı iyileştirebilir. Ayrıca, günlük tutmak ya da zaman zaman doğa yürüyüşleri yapmak da rahatlatıcı olabilir.",diger,hangi aktiviteler zihinsel sağlığımı iyileştirebilir
Çalışmaya başlamadan önce nasıl bir ortam hazırlamalıyım?,"Çalışma alanını düzenli ve dağınıklıktan uzak tutmak çok önemli. Sessiz bir alan seçmeye çalış ve sadece çalışmaya odaklanacağın materyalleri yerleştir. Ayrıca, rahat bir sandalye ve masa da önemlidir.",uzay,çalışmaya başlamadan önce nasıl bir ortam hazırlamalıyım
Haftalık alışverişte nelere dikkat etmeliyim?,"Haftalık alışverişini yaparken taze sebzeler, meyveler, tam tahıllı ürünler ve protein kaynaklarına yer ver. Ayrıca, paketlenmiş ürünlerden kaçınarak doğal gıdalar tercih edebilirsin.",kariyer,haftalık alışverişte nelere dikkat etmeliyim
Evde kolayca yapabileceğim sağlıklı bir tatlı önerir misin?,"Yoğurtlu meyve tatlısı oldukça sağlıklı ve pratik bir seçenek olabilir. Bir kase yoğurdu, bal ve meyvelerle karıştırarak basit bir tatlı yapabilirsin.",uzay,evde kolayca yapabileceğim sağlıklı bir tatlı önerir misin
"Bugün dışarıda bir etkinlik var, ne giymeliyim?","Etkinliğin türüne bağlı olarak rahat bir elbise veya pantolon seçebilirsin. Ayrıca, hava durumu hakkında bilgi edinip ona göre bir kıyafet seçmek faydalı olacaktır.",diger,bugün dışarıda bir etkinlik var ne giymeliyim
"Yeni bir şeyler öğrenmek istiyorum, önerilerin var mı?","Fotoğrafçılık kursları veya online dil öğrenme platformları oldukça ilgi çekici olabilir. Ayrıca, hobi olarak resim yapmayı veya yemek tariflerini denemeyi de düşünebilirsin.",diger,yeni bir şeyler öğrenmek istiyorum önerilerin var mı
Yaz tatilinde ne tür aktiviteler yapabilirim?,"Yaz tatilinde plajda vakit geçirmek, yüzme ya da su sporlarını denemek harika olabilir. Ayrıca, doğa yürüyüşleri yapabilir veya kamp yapmayı düşünebilirsin. Bisiklete binmek de keyifli bir seçenek.",diger,yaz tatilinde ne tür aktiviteler yapabilirim
"Bir hafta sonu için sakin bir yer arıyorum, önerir misin?",Ağaçlarla çevrili bir gölet kenarındaki küçük bir kasaba ya da dağ köyleri harika birer seçim olabilir. Hem sessiz hem de doğayla iç içe bir hafta sonu geçirmek çok rahatlatıcı olabilir.,diger,bir hafta sonu için sakin bir yer arıyorum önerir misin
"Sağlıklı atıştırmalıklar arıyorum, ne önerirsin?","Yoğurtlu meyve, ceviz veya badem gibi kuru yemişler sağlıklı atıştırmalıklar olabilir. Ayrıca, havuç ya da salatalık dilimleriyle humus da harika bir seçenek.",saglik,sağlıklı atıştırmalıklar arıyorum ne önerirsin
Günlük rutine başlamadan önce nasıl motive olabilirim?,"Sabah erken kalkıp kısa bir meditasyon yapabilirsin. Ardından, günü planlayıp küçük hedefler koyarak onları başarmaya odaklanabilirsin. Başarılarını not etmek de motivasyonunu artırabilir.",diger,günlük rutine başlamadan önce nasıl motive olabilirim
Kendimi daha huzurlu hissetmek için ne yapmalıyım?,"Günlük meditasyon yapmak, doğada kısa bir yürüyüş yapmak veya nefes egzersizleri uygulamak rahatlamana yardımcı olabilir. Ayrıca, sevdiğin bir kitabı okumak ya da sıcak bir banyo yapmak da huzur verici olabilir.",finans,kendimi daha huzurlu hissetmek için ne yapmalıyım
Günümü daha verimli hale getirmek için neler yapabilirim?,"İşlerini önceliklendirmek, zaman blokları belirlemek ve kısa molalar vermek verimliliğini artırabilir. Ayrıca, günün başında neyi başaracağına dair bir liste yapmak da çok faydalı olabilir.",diger,günümü daha verimli hale getirmek için neler yapabilirim
"Yeni bir hobi edinmek istiyorum, nereden başlamalıyım?","Hobi edinmek için öncelikle hangi aktivitelerden keyif aldığını düşünmelisin. Resim yapmayı, müzik aleti çalmayı ya da bahçeyle ilgilenmeyi deneyebilirsin. Başlamak için YouTube'daki eğitim videoları harika bir kaynak olabilir.",diger,yeni bir hobi edinmek istiyorum nereden başlamalıyım
"Sinemaya gitmek istiyorum, hangi filmi önerirsin?","Eğer aksiyon sever biriysen, ""John Wick"" veya ""Mad Max: Fury Road"" harika seçenekler olabilir. Eğer dramayı seviyorsan, ""The Pursuit of Happyness"" ya da ""A Beautiful Mind"" gibi derin anlamlar taşıyan filmleri izleyebilirsin.",uzay,sinemaya gitmek istiyorum hangi filmi önerirsin
"Bu akşam yemeği için sağlıklı bir seçenek arıyorum, ne yapabilirim?","Izgara tavuk ve yanında sebzeler hazırlayabilirsin. Ayrıca, fırında sebze yemekleri veya bir kinoa salatası da oldukça sağlıklı ve besleyici olabilir.",saglik,bu akşam yemeği için sağlıklı bir seçenek arıyorum ne yapabilirim
Ailemle birlikte dışarıda ne yapabiliriz?,"Piknik yapmak veya bir doğa yürüyüşüne çıkmak harika olabilir. Ayrıca, bir müze gezisi ya da birlikte yemek yapmak da keyifli zaman geçirebileceğiniz etkinlikler olabilir.",yapay_zeka,ailemle birlikte dışarıda ne yapabiliriz
